,DrugBank ID,Drug Name,Drug Type,UniProt ID,Protein Names,Gene Symbol,Length
5171,DB01142,Doxepin,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CHRM1,460.0
5172,DB01142,Doxepin,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,CHRM2,466.0
5173,DB01142,Doxepin,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3,CHRM3,590.0
5174,DB01142,Doxepin,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4,CHRM4,479.0
5175,DB01142,Doxepin,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5,CHRM5,532.0
5176,DB01142,Doxepin,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
5177,DB01142,Doxepin,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
5178,DB01142,Doxepin,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
5179,DB01142,Doxepin,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
5180,DB01142,Doxepin,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
5181,DB01142,Doxepin,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,ADRA2B,450.0
5182,DB01142,Doxepin,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor,ADRA2C,462.0
5183,DB01142,Doxepin,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
5184,DB01142,Doxepin,SmallMoleculeDrug,P50406,5-hydroxytryptamine receptor 6,HTR6,440.0
5185,DB01142,Doxepin,SmallMoleculeDrug,Q9H3N8,Histamine H4 receptor,HRH4,390.0
5186,DB01142,Doxepin,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,1159.0
5187,DB01143,Amifostine,SmallMoleculeDrug,P10696,"Alkaline phosphatase, placental-like",ALPPL2,532.0
5188,DB01143,Amifostine,SmallMoleculeDrug,P22413,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,ENPP1,925.0
5189,DB01144,Diclofenamide,SmallMoleculeDrug,P00915,Carbonic anhydrase 1,CA1,261.0
5190,DB01144,Diclofenamide,SmallMoleculeDrug,P00918,Carbonic anhydrase 2,CA2,260.0
5191,DB01144,Diclofenamide,SmallMoleculeDrug,P22748,Carbonic anhydrase 4,CA4,312.0
5192,DB01144,Diclofenamide,SmallMoleculeDrug,P43166,Carbonic anhydrase 7,CA7,264.0
5194,DB01146,Diphenylpyraline,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
5195,DB01146,Diphenylpyraline,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter,SLC6A3,620.0
5202,DB01148,Flavoxate,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,CHRM2,466.0
5203,DB01148,Flavoxate,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CHRM1,460.0
5204,DB01149,Nefazodone,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
5205,DB01149,Nefazodone,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,HTR2C,458.0
5206,DB01149,Nefazodone,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,SLC6A4,630.0
5207,DB01149,Nefazodone,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
5208,DB01149,Nefazodone,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,SLC6A2,617.0
5209,DB01149,Nefazodone,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter,SLC6A3,620.0
5210,DB01149,Nefazodone,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
5211,DB01149,Nefazodone,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
5212,DB01149,Nefazodone,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
5216,DB01151,Desipramine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,SLC6A2,617.0
5217,DB01151,Desipramine,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,SLC6A4,630.0
5218,DB01151,Desipramine,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
5219,DB01151,Desipramine,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor,ADRB2,413.0
5220,DB01151,Desipramine,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,ADRB1,477.0
5221,DB01151,Desipramine,SmallMoleculeDrug,P17405,Sphingomyelin phosphodiesterase,SMPD1,629.0
5222,DB01151,Desipramine,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
5223,DB01151,Desipramine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
5224,DB01151,Desipramine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
5225,DB01151,Desipramine,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
5226,DB01151,Desipramine,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CHRM1,460.0
5227,DB01151,Desipramine,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2,CHRM2,466.0
5228,DB01151,Desipramine,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3,CHRM3,590.0
5229,DB01151,Desipramine,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4,CHRM4,479.0
5230,DB01151,Desipramine,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5,CHRM5,532.0
5231,DB01151,Desipramine,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
5232,DB01151,Desipramine,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,HTR2C,458.0
5233,DB01151,Desipramine,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
5234,DB01151,Desipramine,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
5235,DB01151,Desipramine,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,ADRA2B,450.0
5236,DB01151,Desipramine,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor,ADRA2C,462.0
5238,DB01154,Thiamylal,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
5239,DB01154,Thiamylal,SmallMoleculeDrug,Q15842,ATP-sensitive inward rectifier potassium channel 8,KCNJ8,424.0
5240,DB01154,Thiamylal,SmallMoleculeDrug,Q14654,ATP-sensitive inward rectifier potassium channel 11,KCNJ11,390.0
5243,DB01156,Bupropion,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter,SLC6A3,620.0
5244,DB01156,Bupropion,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,SLC6A2,617.0
5245,DB01156,Bupropion,SmallMoleculeDrug,P32297,Neuronal acetylcholine receptor subunit alpha-3,CHRNA3,505.0
5246,DB01157,Trimetrexate,SmallMoleculeDrug,P00374,Dihydrofolate reductase,DHFR,187.0
5247,DB01158,Bretylium,SmallMoleculeDrug,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,1023.0
5248,DB01159,Halothane,SmallMoleculeDrug,O14649,Potassium channel subfamily K member 3,KCNK3,394.0
5249,DB01159,Halothane,SmallMoleculeDrug,Q9NPC2,Potassium channel subfamily K member 9,KCNK9,374.0
5250,DB01159,Halothane,SmallMoleculeDrug,Q12791,Calcium-activated potassium channel subunit alpha-1,KCNMA1,1236.0
5251,DB01159,Halothane,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,1115.0
5252,DB01159,Halothane,SmallMoleculeDrug,O60391,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,1043.0
5253,DB01159,Halothane,SmallMoleculeDrug,Q12879,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,1464.0
5254,DB01159,Halothane,SmallMoleculeDrug,P23415,Glycine receptor subunit alpha-1,GLRA1,457.0
5255,DB01159,Halothane,SmallMoleculeDrug,P08100,Rhodopsin,RHO,348.0
5256,DB01159,Halothane,SmallMoleculeDrug,P48051,G protein-activated inward rectifier potassium channel 2,KCNJ6,423.0
5257,DB01159,Halothane,SmallMoleculeDrug,P48549,G protein-activated inward rectifier potassium channel 1,KCNJ3,501.0
5258,DB01159,Halothane,SmallMoleculeDrug,P03886,NADH-ubiquinone oxidoreductase chain 1,MT-ND1,318.0
5259,DB01159,Halothane,SmallMoleculeDrug,O15554,Intermediate conductance calcium-activated potassium channel protein 4,KCNN4,427.0
5260,DB01159,Halothane,SmallMoleculeDrug,P30049,"ATP synthase subunit delta, mitochondrial",ATP5D,168.0
5261,DB01159,Halothane,SmallMoleculeDrug,P98194,Calcium-transporting ATPase type 2C member 1,ATP2C1,919.0
5262,DB01159,Halothane,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
5263,DB01159,Halothane,SmallMoleculeDrug,P59768,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2,GNG2,71.0
5264,DB01159,Halothane,SmallMoleculeDrug,Q6W5P4,Neuropeptide S receptor,NPSR1,371.0
5265,DB01159,Halothane,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
5266,DB01159,Halothane,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,451.0
5267,DB01159,Halothane,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,492.0
5268,DB01159,Halothane,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,554.0
5269,DB01159,Halothane,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,462.0
5270,DB01159,Halothane,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,GABRA6,453.0
5271,DB01159,Halothane,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1,GABRB1,474.0
5272,DB01159,Halothane,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2,GABRB2,512.0
5273,DB01159,Halothane,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,473.0
5274,DB01159,Halothane,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta,GABRD,452.0
5275,DB01159,Halothane,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon,GABRE,506.0
5276,DB01159,Halothane,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1,GABRG1,465.0
5277,DB01159,Halothane,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2,GABRG2,467.0
5278,DB01159,Halothane,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3,GABRG3,467.0
5279,DB01159,Halothane,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi,GABRP,440.0
5280,DB01159,Halothane,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta,GABRQ,632.0
5281,DB01160,Dinoprost Tromethamine,SmallMoleculeDrug,P43088,Prostaglandin F2-alpha receptor,PTGFR,359.0
5282,DB01160,Dinoprost Tromethamine,SmallMoleculeDrug,P43119,Prostacyclin receptor,PTGIR,386.0
5283,DB01161,Chloroprocaine,SmallMoleculeDrug,Q9Y5Y9,Sodium channel protein type 10 subunit alpha,SCN10A,1956.0
5284,DB01161,Chloroprocaine,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,1115.0
5285,DB01161,Chloroprocaine,SmallMoleculeDrug,Q9GZZ6,Neuronal acetylcholine receptor subunit alpha-10,CHRNA10,450.0
5286,DB01161,Chloroprocaine,SmallMoleculeDrug,P46098,5-hydroxytryptamine receptor 3A,HTR3A,478.0
5287,DB01161,Chloroprocaine,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter,SLC6A3,620.0
5288,DB01162,Terazosin,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
5289,DB01162,Terazosin,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
5290,DB01162,Terazosin,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
5291,DB01162,Terazosin,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,1159.0
5292,DB01162,Terazosin,SmallMoleculeDrug,Q9H252,Potassium voltage-gated channel subfamily H member 6,KCNH6,994.0
5293,DB01162,Terazosin,SmallMoleculeDrug,Q9NS40,Potassium voltage-gated channel subfamily H member 7,KCNH7,1196.0
5302,DB01165,Ofloxacin,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha,TOP2A,1531.0
5303,DB01166,Cilostazol,SmallMoleculeDrug,Q14432,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",PDE3A,1141.0
5304,DB01167,Itraconazole,SmallMoleculeDrug,Q16850,Lanosterol 14-alpha demethylase,CYP51A1,503.0
5306,DB01168,Procarbazine,SmallMoleculeDrug,P21397,Amine oxidase [flavin-containing] A,MAOA,527.0
5307,DB01168,Procarbazine,SmallMoleculeDrug,P27338,Amine oxidase [flavin-containing] B,MAOB,520.0
5308,DB01169,Arsenic trioxide,SmallMoleculeDrug,O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB,756.0
5309,DB01169,Arsenic trioxide,SmallMoleculeDrug,Q16881,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,649.0
5310,DB01169,Arsenic trioxide,SmallMoleculeDrug,P05412,Transcription factor AP-1,JUN,331.0
5311,DB01169,Arsenic trioxide,SmallMoleculeDrug,P24385,G1/S-specific cyclin-D1,CCND1,295.0
5312,DB01169,Arsenic trioxide,SmallMoleculeDrug,P27361,Mitogen-activated protein kinase 3,MAPK3,379.0
5313,DB01169,Arsenic trioxide,SmallMoleculeDrug,P28482,Mitogen-activated protein kinase 1,MAPK1,360.0
5314,DB01169,Arsenic trioxide,SmallMoleculeDrug,P31749,RAC-alpha serine/threonine-protein kinase,AKT1,480.0
5315,DB01170,Guanethidine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,SLC6A2,617.0
5316,DB01171,Moclobemide,SmallMoleculeDrug,P21397,Amine oxidase [flavin-containing] A,MAOA,527.0
5318,DB01173,Orphenadrine,SmallMoleculeDrug,O15399,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,1336.0
5319,DB01173,Orphenadrine,SmallMoleculeDrug,Q05586,"Glutamate receptor ionotropic, NMDA 1",GRIN1,938.0
5320,DB01173,Orphenadrine,SmallMoleculeDrug,O60391,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,1043.0
5321,DB01173,Orphenadrine,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,1115.0
5322,DB01173,Orphenadrine,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
5323,DB01173,Orphenadrine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,SLC6A2,617.0
5324,DB01173,Orphenadrine,SmallMoleculeDrug,Q9Y5Y9,Sodium channel protein type 10 subunit alpha,SCN10A,1956.0
5325,DB01174,Phenobarbital,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
5326,DB01174,Phenobarbital,SmallMoleculeDrug,P43681,Neuronal acetylcholine receptor subunit alpha-4,CHRNA4,627.0
5327,DB01174,Phenobarbital,SmallMoleculeDrug,P36544,Neuronal acetylcholine receptor subunit alpha-7,CHRNA7,502.0
5328,DB01174,Phenobarbital,SmallMoleculeDrug,P42262,Glutamate receptor 2,GRIA2,883.0
5329,DB01174,Phenobarbital,SmallMoleculeDrug,Q13002,"Glutamate receptor ionotropic, kainate 2",GRIK2,908.0
5330,DB01174,Phenobarbital,SmallMoleculeDrug,Q05586,"Glutamate receptor ionotropic, NMDA 1",GRIN1,938.0
5331,DB01174,Phenobarbital,SmallMoleculeDrug,Q12879,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,1464.0
5332,DB01174,Phenobarbital,SmallMoleculeDrug,Q13224,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,1484.0
5333,DB01174,Phenobarbital,SmallMoleculeDrug,Q14957,"Glutamate receptor ionotropic, NMDA 2C",GRIN2C,1233.0
5334,DB01174,Phenobarbital,SmallMoleculeDrug,O15399,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,1336.0
5335,DB01174,Phenobarbital,SmallMoleculeDrug,Q8TCU5,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,1115.0
5336,DB01174,Phenobarbital,SmallMoleculeDrug,O60391,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,1043.0
5337,DB01175,Escitalopram,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,SLC6A4,630.0
5338,DB01175,Escitalopram,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter,SLC6A3,620.0
5339,DB01175,Escitalopram,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter,SLC6A2,617.0
5340,DB01175,Escitalopram,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
5341,DB01175,Escitalopram,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1,CHRM1,460.0
5342,DB01175,Escitalopram,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
5343,DB01176,Cyclizine,SmallMoleculeDrug,P35367,Histamine H1 receptor,HRH1,487.0
5344,DB01176,Cyclizine,SmallMoleculeDrug,P49888,Estrogen sulfotransferase,SULT1E1,294.0
5345,DB01177,Idarubicin,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha,TOP2A,1531.0
5346,DB01178,Chlormezanone,SmallMoleculeDrug,P30536,Translocator protein,TSPO,169.0
5347,DB01179,Podofilox,SmallMoleculeDrug,P11388,DNA topoisomerase 2-alpha,TOP2A,1531.0
5348,DB01179,Podofilox,SmallMoleculeDrug,P68366,Tubulin alpha-4A chain,TUBA4A,448.0
5349,DB01179,Podofilox,SmallMoleculeDrug,P07437,Tubulin beta chain,TUBB,444.0
5350,DB01180,Rescinnamine,SmallMoleculeDrug,P12821,Angiotensin-converting enzyme,ACE,1306.0
5351,DB01182,Propafenone,SmallMoleculeDrug,Q14524,Sodium channel protein type 5 subunit alpha,SCN5A,2016.0
5352,DB01182,Propafenone,SmallMoleculeDrug,Q12809,Potassium voltage-gated channel subfamily H member 2,KCNH2,1159.0
5353,DB01183,Naloxone,SmallMoleculeDrug,P35372,Mu-type opioid receptor,OPRM1,400.0
5354,DB01183,Naloxone,SmallMoleculeDrug,P41143,Delta-type opioid receptor,OPRD1,372.0
5355,DB01183,Naloxone,SmallMoleculeDrug,P41145,Kappa-type opioid receptor,OPRK1,380.0
5356,DB01183,Naloxone,SmallMoleculeDrug,P16220,Cyclic AMP-responsive element-binding protein 1,CREB1,341.0
5357,DB01183,Naloxone,SmallMoleculeDrug,P03372,Estrogen receptor,ESR1,595.0
5358,DB01183,Naloxone,SmallMoleculeDrug,O00206,Toll-like receptor 4,TLR4,839.0
5359,DB01184,Domperidone,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
5360,DB01184,Domperidone,SmallMoleculeDrug,P35462,D(3) dopamine receptor,DRD3,400.0
5361,DB01185,Fluoxymesterone,SmallMoleculeDrug,P10275,Androgen receptor,AR,920.0
5362,DB01185,Fluoxymesterone,SmallMoleculeDrug,P03372,Estrogen receptor,ESR1,595.0
5363,DB01185,Fluoxymesterone,SmallMoleculeDrug,P16471,Prolactin receptor,PRLR,622.0
5364,DB01185,Fluoxymesterone,SmallMoleculeDrug,P04150,Glucocorticoid receptor,NR3C1,777.0
5365,DB01186,Pergolide,SmallMoleculeDrug,P14416,D(2) dopamine receptor,DRD2,443.0
5366,DB01186,Pergolide,SmallMoleculeDrug,P35462,D(3) dopamine receptor,DRD3,400.0
5367,DB01186,Pergolide,SmallMoleculeDrug,P21917,D(4) dopamine receptor,DRD4,467.0
5368,DB01186,Pergolide,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A,HTR1A,422.0
5369,DB01186,Pergolide,SmallMoleculeDrug,P41595,5-hydroxytryptamine receptor 2B,HTR2B,481.0
5370,DB01186,Pergolide,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A,HTR2A,471.0
5371,DB01186,Pergolide,SmallMoleculeDrug,P28221,5-hydroxytryptamine receptor 1D,HTR1D,377.0
5372,DB01186,Pergolide,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor,ADRA2B,450.0
5373,DB01186,Pergolide,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor,ADRA2A,450.0
5374,DB01186,Pergolide,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor,ADRA2C,462.0
5375,DB01186,Pergolide,SmallMoleculeDrug,P21918,D(1B) dopamine receptor,DRD5,477.0
5376,DB01186,Pergolide,SmallMoleculeDrug,P21728,D(1A) dopamine receptor,DRD1,446.0
5377,DB01186,Pergolide,SmallMoleculeDrug,P28222,5-hydroxytryptamine receptor 1B,HTR1B,390.0
5378,DB01186,Pergolide,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,HTR2C,458.0
5379,DB01186,Pergolide,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor,ADRA1A,466.0
5380,DB01186,Pergolide,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor,ADRA1B,520.0
5381,DB01186,Pergolide,SmallMoleculeDrug,P25100,Alpha-1D adrenergic receptor,ADRA1D,572.0
5382,DB01188,Ciclopirox,SmallMoleculeDrug,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,1023.0
5383,DB01189,Desflurane,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
5384,DB01189,Desflurane,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,451.0
5385,DB01189,Desflurane,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,492.0
5386,DB01189,Desflurane,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,554.0
5387,DB01189,Desflurane,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,462.0
5388,DB01189,Desflurane,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6,GABRA6,453.0
5389,DB01189,Desflurane,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1,GABRB1,474.0
5390,DB01189,Desflurane,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2,GABRB2,512.0
5391,DB01189,Desflurane,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,473.0
5392,DB01189,Desflurane,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta,GABRD,452.0
5393,DB01189,Desflurane,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon,GABRE,506.0
5394,DB01189,Desflurane,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1,GABRG1,465.0
5395,DB01189,Desflurane,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2,GABRG2,467.0
5396,DB01189,Desflurane,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3,GABRG3,467.0
5397,DB01189,Desflurane,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi,GABRP,440.0
5398,DB01189,Desflurane,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta,GABRQ,632.0
5399,DB01189,Desflurane,SmallMoleculeDrug,P23415,Glycine receptor subunit alpha-1,GLRA1,457.0
5400,DB01189,Desflurane,SmallMoleculeDrug,P42261,Glutamate receptor 1,GRIA1,906.0
5401,DB01189,Desflurane,SmallMoleculeDrug,Q09470,Potassium voltage-gated channel subfamily A member 1,KCNA1,495.0
5402,DB01189,Desflurane,SmallMoleculeDrug,P98194,Calcium-transporting ATPase type 2C member 1,ATP2C1,919.0
5403,DB01189,Desflurane,SmallMoleculeDrug,P30049,"ATP synthase subunit delta, mitochondrial",ATP5D,168.0
5404,DB01189,Desflurane,SmallMoleculeDrug,P03886,NADH-ubiquinone oxidoreductase chain 1,MT-ND1,318.0
5406,DB01191,Dexfenfluramine,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter,SLC6A4,630.0
5407,DB01191,Dexfenfluramine,SmallMoleculeDrug,P28335,5-hydroxytryptamine receptor 2C,HTR2C,458.0
5408,DB01192,Oxymorphone,SmallMoleculeDrug,P35372,Mu-type opioid receptor,OPRM1,400.0
5409,DB01192,Oxymorphone,SmallMoleculeDrug,P41143,Delta-type opioid receptor,OPRD1,372.0
5410,DB01193,Acebutolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor,ADRB1,477.0
5411,DB01193,Acebutolol,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor,ADRB2,413.0
5412,DB01194,Brinzolamide,SmallMoleculeDrug,P00918,Carbonic anhydrase 2,CA2,260.0
5413,DB01194,Brinzolamide,SmallMoleculeDrug,P00915,Carbonic anhydrase 1,CA1,261.0
5414,DB01194,Brinzolamide,SmallMoleculeDrug,P22748,Carbonic anhydrase 4,CA4,312.0
5415,DB01194,Brinzolamide,SmallMoleculeDrug,P35218,"Carbonic anhydrase 5A, mitochondrial",CA5A,305.0
5416,DB01195,Flecainide,SmallMoleculeDrug,Q14524,Sodium channel protein type 5 subunit alpha,SCN5A,2016.0
5417,DB01195,Flecainide,SmallMoleculeDrug,P35499,Sodium channel protein type 4 subunit alpha,SCN4A,1836.0
5418,DB01196,Estramustine,SmallMoleculeDrug,P11137,Microtubule-associated protein 2,MAP2,1827.0
5419,DB01196,Estramustine,SmallMoleculeDrug,P78559,Microtubule-associated protein 1A,MAP1A,2803.0
5420,DB01196,Estramustine,SmallMoleculeDrug,P03372,Estrogen receptor,ESR1,595.0
5421,DB01196,Estramustine,SmallMoleculeDrug,Q92731,Estrogen receptor beta,ESR2,530.0
5422,DB01197,Captopril,SmallMoleculeDrug,P12821,Angiotensin-converting enzyme,ACE,1306.0
5423,DB01197,Captopril,SmallMoleculeDrug,P08253,72 kDa type IV collagenase,MMP2,660.0
5424,DB01197,Captopril,SmallMoleculeDrug,P14780,Matrix metalloproteinase-9,MMP9,707.0
5425,DB01197,Captopril,SmallMoleculeDrug,P09960,Leukotriene A-4 hydrolase,LTA4H,611.0
5426,DB01198,Zopiclone,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,456.0
5427,DB01198,Zopiclone,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,451.0
5428,DB01198,Zopiclone,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,492.0
